"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","1.95",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, PARITY, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","4.33",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN $ / DOZEN","TOTAL","NOT SPECIFIED","2.19",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRICE RECEIVED, SEASONALLY ADJUSTED, MEASURED IN PCT OF PARITY","TOTAL","NOT SPECIFIED","51",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN DOZEN","TOTAL","NOT SPECIFIED","743,608,300",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","8,923,300,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - SEASONAL ADJUSTMENT FACTOR FOR PRICE RECEIVED, MEASURED IN PCT","TOTAL","NOT SPECIFIED","88.9",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","252,617,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHITE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","63,736,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, WHOLE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","156,405,000",""
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS, EDIBLE PRODUCT, YOLK - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","32,476,000",""
